ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006096,glycolytic process,11/515,92/13235,0.11956521739130435,3.0727100042211903,4.0141243994432,8.644285224736603e-4,0.03173261904638232,0.029422161823198907,Gpi1/Pklr/Tkfc/Aldob/Khk/Gck/Fbp1/Foxk2/Pfkfb3/Pfkm/Ddit4,11
GO:0043650,dicarboxylic acid biosynthetic process,4/515,12/13235,0.3333333333333333,8.566343042071196,5.276151719183533,8.740194145802477e-4,0.03173261904638232,0.029422161823198907,Acmsd/Gls2/Got1/Haao,4
GO:0008652,amino acid biosynthetic process,9/515,65/13235,0.13846153846153847,3.558327109783421,4.160308037027641,8.746641449761054e-4,0.03173261904638232,0.029422161823198907,Gls2/Ass1/Got1/Sds/Pah/Cbs/Sdsl/Asl/Cad,9
GO:0009743,response to carbohydrate,19/515,218/13235,0.0871559633027523,2.2398236394406346,3.713969484586211,8.782990407507151e-4,0.03173261904638232,0.029422161823198907,Aacs/Casp3/Srebf1/Khk/Gck/Lepr/Gpam/Fbp1/Cpb2/Hmgcr/Ppard/Map2k6/Slc2a5/Gstp1/Gys2/Nox4/Mup3/Apoc3/Tiam1,19
GO:0019373,epoxygenase P450 pathway,6/515,30/13235,0.2,5.139805825242719,4.5674838447274,9.018958502176411e-4,0.0320244195819893,0.029692716313711523,Cyp2c29/Cyp2c67/Cyp2c70/Cyp2c40/Cyp2j9/Cyp2c68,6
GO:0009135,purine nucleoside diphosphate metabolic process,12/515,107/13235,0.11214953271028037,2.8821341076127394,3.933225026038253,9.109970716557695e-4,0.0320244195819893,0.029692716313711523,Gpi1/Pklr/Tkfc/Aldob/Khk/Gck/Fbp1/Ak4/Foxk2/Pfkfb3/Pfkm/Ddit4,12
GO:0009179,purine ribonucleoside diphosphate metabolic process,12/515,107/13235,0.11214953271028037,2.8821341076127394,3.933225026038253,9.109970716557695e-4,0.0320244195819893,0.029692716313711523,Gpi1/Pklr/Tkfc/Aldob/Khk/Gck/Fbp1/Ak4/Foxk2/Pfkfb3/Pfkm/Ddit4,12
GO:0009259,ribonucleotide metabolic process,25/515,325/13235,0.07692307692307693,1.9768483943241224,3.5876605932087022,9.340871847629699e-4,0.0325429303120099,0.03017347419201436,Gpi1/Pklr/Tkfc/Aldob/Uox/Khk/Atp1b1/Gck/Fbp1/Ak4/Ppat/Pde8a/Umps/Foxk2/Urad/Sult2a7/Gmps/Bend3/Uck2/Pfkfb3/ND4L/Pfkm/Cad/Nme6/Ddit4,25
GO:0008015,blood circulation,27/515,362/13235,0.07458563535911603,1.916778415491069,3.558642854883372,9.446010469814797e-4,0.03261799367541357,0.030243072179556085,Enpep/Ctnnbip1/Srebf1/Atp1b1/Klk1b4/Cps1/Vegfb/Tnnc1/Atp1a1/Kng1/Wnk4/Cbs/Kdr/Fgb/Tbxa2r/P2ry1/Pik3r1/Hmgcr/Ppard/Klf2/Map2k6/Slc2a5/Dsg2/Hopx/Arhgap35/G6pdx/Sucnr1,27
GO:0009161,ribonucleoside monophosphate metabolic process,8/515,54/13235,0.14814814814814814,3.807263574253865,4.159216376448333,0.0010693466753051405,0.036300442086291004,0.03365740091466783,Uox/Ak4/Ppat/Umps/Urad/Gmps/Uck2/Cad,8
