ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0051235,maintenance of location,294,0.3123558238877901,1.4666109046551719,0.0018303772928608731,0.04034456616347508,0.03501654805082324,3016,"tags=30%, list=22%, signal=24%",14311/232370/12491/12683/228859/11520/68680/19016/20850/207683/72999/15211/71111/66092/12623/15945/223697/76763/11512/15212/170756/12894/320951/83433/69573/21402/67451/17294/211323/109676/78688/74055/238871/75641/69810/17918/20312/16889/217695/19240/15183/74777/20788/14225/18796/15277/382044/16956/21926/14118/268977/20851/108686/20652/66853/15170/17329/22166/56320/11735/20302/233833/14609/20684/17841/233571/108058/230738/19241/23999/104158/66968/16859/20541/51810/53322/11307/64009/66905/14062/192176/12684/19264/106326/26936/224109/23832/21808/72195
GO:0045912,negative regulation of carbohydrate metabolic process,64,-0.421004063361765,-1.7394705184628674,0.0018803068133423121,0.041288699422033635,0.035835996386956954,1175,"tags=22%, list=8%, signal=20%",11450/252870/74747/18605/17842/319801/67078/68054/231103/78830/14121/16847/103988/244416
GO:0009083,branched-chain amino acid catabolic process,20,0.6383987000355954,1.8538598730793998,0.001932087785368724,0.04226623617691957,0.03668443685872235,1827,"tags=60%, list=13%, signal=52%",243382/110446/15356/72039/227095/13382/12040/104776/78038/15108/11992/66948
GO:0042110,T cell activation,490,0.2786272195175734,1.3680156232037102,0.0019476204650375963,0.04244645500394672,0.03684085547506559,3187,"tags=30%, list=23%, signal=24%",22361/16852/210757/103743/93695/20850/16453/19156/20296/14102/237256/13653/12479/100039795/12520/83433/105352/58240/252838/15507/11501/108138/20677/74775/242122/12193/208650/14284/16854/19261/12772/100038947/17085/15205/12047/19698/16889/22417/53314/17869/21423/12192/75345/17242/14727/217303/14225/74131/56048/54721/20304/16190/20586/12506/15216/58185/216799/12571/83797/22059/13641/269023/320832/16952/56619/20963/14204/14252/20851/15170/93675/14728/12393/14999/114774/12010/14998/11629/17221/12523/12502/14969/108723/15510/14609/26888/60533/12501/16186/74734/12043/320484/80859/56744/12480/15223/230738/18173/243910/13655/12394/18106/18762/105855/381484/22376/12505/16859/12775/94176/56335/20390/98365/16792/20375/668101/14960/19090/19219/27027/12509/22177/211651/20587/56501/68970/16414/17974/16197/12525/51797/63953/16149/22324/78317/19264/50723/12142/12144/13024/11776/12522/333883/22329/15944/545030/27371/73149
GO:0010889,regulation of sequestering of triglyceride,15,0.688796532521553,1.8583557078584505,0.0019648537396043495,0.042541484642530256,0.03692333522939557,552,"tags=40%, list=4%, signal=38%",12683/228859/11520/68680/19016/83433
GO:0008286,insulin receptor signaling pathway,129,-0.3366252535728495,-1.5752034688205048,0.0019666024005569062,0.042541484642530256,0.03692333522939557,2426,"tags=28%, list=17%, signal=23%",606496/110157/232339/12390/11789/56458/72674/18761/98415/26413/20588/18795/22724/19271/13688/20383/18710/54601/20402/19247/19268/18605/11652/17842/15461/20662/213053/17975/72508/18708/11625/68054/108083/192157/11651/20787
GO:1903531,negative regulation of secretion by cell,131,0.3700265161816808,1.5728363875388607,0.002000526781582258,0.043115056822322806,0.037421159836380793,2649,"tags=32%, list=19%, signal=26%",17773/22228/11981/19016/16181/15107/13650/269951/75387/229521/27359/11747/73205/109731/211323/268860/16324/56715/12772/17918/11539/217303/58185/56695/52055/16952/14118/218460/217344/12523/14609/18128/17841/26921/59090/13614/109934/105855/109254/16859/20375/53322
GO:0046394,carboxylic acid biosynthetic process,279,-0.2696920596548974,-1.3950488283135727,0.002012079103134649,0.04320401587136725,0.037498370700485714,1852,"tags=24%, list=13%, signal=21%",26365/18778/19733/328035/19215/70396/216454/26433/27053/14869/58805/104086/226143/13244/18519/74205/70789/19082/70025/14186/20845/109079/106529/16418/11814/20425/15378/69719/26459/170459/15450/14870/225884/109900/19079/78830/108079/54326/99586/216558/13884/76267/17319/257635/12411/56050/107766/18478/68312/231070/231691/60525/14104/170439/107476/14867/14718/11898/216456/266645/68041/20787/100705/16592/104112/18770
GO:0006735,NADH regeneration,17,-0.631604645365446,-1.8571083929761945,0.002052697771133111,0.04359360704461158,0.037836511355730566,2439,"tags=41%, list=18%, signal=34%",21991/18655/14433/13806/18642/68837/14751
GO:0061621,canonical glycolysis,17,-0.631604645365446,-1.8571083929761945,0.002052697771133111,0.04359360704461158,0.037836511355730566,2439,"tags=41%, list=18%, signal=34%",21991/18655/14433/13806/18642/68837/14751
GO:0061718,glucose catabolic process to pyruvate,17,-0.631604645365446,-1.8571083929761945,0.002052697771133111,0.04359360704461158,0.037836511355730566,2439,"tags=41%, list=18%, signal=34%",21991/18655/14433/13806/18642/68837/14751
GO:0002548,monocyte chemotaxis,33,0.5452952596671454,1.7970598483432094,0.002099428389205262,0.04413193246773671,0.0383037439929452,2917,"tags=61%, list=21%, signal=48%",20296/15945/18787/76763/13051/16854/12772/74748/20304/16952/66166/20302/11629/18591/19141/17925/12768/105722/14289/27226
GO:0006949,syncytium formation,51,0.4859999275800014,1.7486188565522252,0.0020925675121163563,0.04413193246773671,0.0383037439929452,3126,"tags=45%, list=22%, signal=35%",23886/15945/13549/102791/12520/83433/23794/11501/12334/19221/216161/16190/13870/259300/17329/235130/12508/12505/94176/22177/12450/67220/14218
GO:0097530,granulocyte migration,121,0.3817663522040357,1.6053337849796068,0.0021007982975705564,0.04413193246773671,0.0383037439929452,3004,"tags=38%, list=22%, signal=30%",68585/17524/20296/15945/76763/64058/11501/21825/238871/20303/12215/20306/17916/16854/19261/24088/22388/20312/74748/17242/20310/217303/14825/20304/20750/20299/16952/12273/20963/66166/12267/17329/20302/114774/56744/13614/105855/12775/20305/19219/14131/16414/16149/22324/26417/21808
